№	Кластер	Подкластер	Seed query	Тип интента	Близость к FotoLovi	Комментарий
211	Прямой продукт	По типам событий	загрузка фото без приложения на презентации	product	adjacent	Деловой event-сценарий
212	Прямой продукт	По типам событий	модерация фото участников на презентации	product	adjacent	Деловой event-сценарий
213	Прямой продукт	По типам событий	скачать фото участников после презентации	photo	adjacent	Деловой event-сценарий
214	Прямой продукт	По типам событий	галерея после презентации	photo	adjacent	Деловой event-сценарий
215	Прямой продукт	По типам событий	сбор фото гостей на фестивале	product	adjacent	Массовое событие
216	Прямой продукт	По типам событий	сервис сбора фото гостей на фестивале	product	adjacent	Массовое событие
217	Прямой продукт	По типам событий	как собрать фото гостей на фестивале	event	adjacent	Массовое событие
218	Прямой продукт	По типам событий	куда загрузить фото гостей на фестивале	event	adjacent	Массовое событие
219	Прямой продукт	По типам событий	гостей загружают фото на фестивале	event	adjacent	Массовое событие
220	Прямой продукт	По типам событий	общая галерея для гостей на фестивале	event	adjacent	Массовое событие
221	Прямой продукт	По типам событий	общий альбом фото гостей на фестивале	event	adjacent	Массовое событие
222	Прямой продукт	По типам событий	qr альбом для гостей на фестивале	qr	adjacent	Массовое событие
223	Прямой продукт	По типам событий	qr код для фото гостей на фестивале	qr	adjacent	Массовое событие
224	Прямой продукт	По типам событий	фото гостей на экран на фестивале	screen	adjacent	Массовое событие
225	Прямой продукт	По типам событий	фото гостей на проектор на фестивале	screen	adjacent	Массовое событие
226	Прямой продукт	По типам событий	загрузка фото без приложения на фестивале	product	adjacent	Массовое событие
227	Прямой продукт	По типам событий	модерация фото гостей на фестивале	product	adjacent	Массовое событие
228	Прямой продукт	По типам событий	скачать фото гостей после фестиваля	photo	adjacent	Массовое событие
229	Прямой продукт	По типам событий	галерея после фестиваля	photo	adjacent	Массовое событие
230	Прямой продукт	По типам событий	сбор фото гостей на городском празднике	product	adjacent	Массовое событие
231	Прямой продукт	По типам событий	сервис сбора фото гостей на городском празднике	product	adjacent	Массовое событие
232	Прямой продукт	По типам событий	как собрать фото гостей на городском празднике	event	adjacent	Массовое событие
233	Прямой продукт	По типам событий	куда загрузить фото гостей на городском празднике	event	adjacent	Массовое событие
234	Прямой продукт	По типам событий	гостей загружают фото на городском празднике	event	adjacent	Массовое событие
235	Прямой продукт	По типам событий	общая галерея для гостей на городском празднике	event	adjacent	Массовое событие
236	Прямой продукт	По типам событий	общий альбом фото гостей на городском празднике	event	adjacent	Массовое событие
237	Прямой продукт	По типам событий	qr альбом для гостей на городском празднике	qr	adjacent	Массовое событие
238	Прямой продукт	По типам событий	qr код для фото гостей на городском празднике	qr	adjacent	Массовое событие
239	Прямой продукт	По типам событий	фото гостей на экран на городском празднике	screen	adjacent	Массовое событие
240	Прямой продукт	По типам событий	фото гостей на проектор на городском празднике	screen	adjacent	Массовое событие
241	Прямой продукт	По типам событий	загрузка фото без приложения на городском празднике	product	adjacent	Массовое событие
242	Прямой продукт	По типам событий	модерация фото гостей на городском празднике	product	adjacent	Массовое событие
243	Прямой продукт	По типам событий	скачать фото гостей после городского праздника	photo	adjacent	Массовое событие
244	Прямой продукт	По типам событий	галерея после городского праздника	photo	adjacent	Массовое событие
245	Прямой продукт	По типам событий	сбор фото гостей на закрытом мероприятии	product	adjacent	Закрытый event-сценарий
246	Прямой продукт	По типам событий	сервис сбора фото гостей на закрытом мероприятии	product	adjacent	Закрытый event-сценарий
247	Прямой продукт	По типам событий	как собрать фото гостей на закрытом мероприятии	event	adjacent	Закрытый event-сценарий
