название_страницы,URL,родительский_URL,уровень,тип_страницы,основной_интент,вторичный_интент,семантическое_владение,запрещенные_кластеры,этап_воронки,коммерческий_приоритет,контентный_приоритет,роль_во_внутренней_перелинковке,потенциал_визуального_SEO,риск_каннибализации,рекомендуемый_призыв_к_действию,заметки
Свадьба 2026,/wedding/2026/,/wedding/trends/,4,сезонная контентная страница,Идеи и цифровые тренды свадьбы 2026,"Как использовать QR, экран, приветственную зону и фото гостей в свадебном опыте",СВАДЬБА; ТРЕНДЫ; 2026,Сценарии выкупа; платье; банкетное меню; декор без продукта,Верх воронки,Средний,P2,"Сезонный вход, который передает авторитет в коммерческие страницы через блоки идей",Очень высокий,Средний,Добавить цифровой опыт,Страница должна обновляться ежегодно и связывать тренды с FotoLovi как инфраструктура памяти.
Wow-эффекты на свадьбе,/wedding/wow-effects/,/wedding/,2,визуальная контентная страница,Чем удивить гостей на свадьбе,"Фото-экран, живая галерея, QR-приветственный, совместные моменты",СВАДЬБА; WOW; ВИЗУАЛ,Фотобудка как основной интент; фейерверки; декор без цифрового слоя,Верх воронки,Средний,P2,Визуальный верх воронки-источник в фотостену в реальном времени и интерактивы,Очень высокий,Средний,Запустить фотостену в реальном времени,Поддерживает смежный-запросы про удивление гостей и визуальные примеры.
Свадебный приветственный сценарий,/wedding/welcome/,/wedding/,2,визуальный хаб,Приветственный сценарий на свадьбе,"Приветственная зона, QR-таблички, приветственный экран, вход гостей в фото-галерею",СВАДЬБА; ПРИВЕТСТВЕННЫЙ СЦЕНАРИЙ; ВИЗУАЛ; QR,Декор без QR; навигация площадки; банкетная рассадка,Верх и середина воронки,Высокий,P1,Новый визуальный хаб: собирает похожий на Pinterest намерение и передает его в QR-альбом и экран страницы,Очень высокий,Средний,Сделать QR приветственный сценарий,"Связывает приветственная зона, экран, QR и визуальное вдохновение в отдельный кластер."
Приветственный экран на свадьбе,/wedding/welcome-screen/,/wedding/welcome/,3,визуальная контентная коммерческая страница,Приветственный экран для гостей,"Показ QR, приветствия, фото гостей и живая галерея на экране",СВАДЬБА; ПРИВЕТСТВЕННЫЙ СЦЕНАРИЙ; ЭКРАН,Аренда экрана; баннеры; декор без интерактива,Середина воронки,Высокий,P2,Передает экранный намерение в фотостену в реальном времени и свадебный проекторный экран,Очень высокий,Средний,Показать QR на экране,"Нужны макеты экранов, примеры заставок и сценарий перехода к загрузке фото."
Приветственная зона на свадьбе,/wedding/welcome-zone/,/wedding/welcome/,3,визуальная контентная страница,Идеи приветственной зоны на свадьбе,QR-табличка для загрузки фото и вход в общую галерею,СВАДЬБА; ПРИВЕТСТВЕННЫЙ СЦЕНАРИЙ; ВИЗУАЛ,QR-техническая инструкция; контент для экрана как главный интент,Верх и середина воронки,Средний,P2,"страница, ориентированная на Pinterest, которая ведет в QR-альбом и приветственный экран",Очень высокий,Средний,Добавить QR в приветственную зону,Сильная визуальная страница для Яндекс Картинки и поведения похожего на Pinterest.
Таблички с QR для свадьбы,/wedding/welcome-signs/,/wedding/welcome/,3,визуальная поддерживающая страница,QR-таблички и приветственные QR-таблички для гостей,Печатные и экранные примеры входа в фото-галерею,СВАДЬБА; QR; ПРИВЕТСТВЕННЫЙ СЦЕНАРИЙ; БЕЗ ПРИЛОЖЕНИЯ,Декор без загрузки фото; общий QR-генератор,Середина воронки,Высокий,P2,Конвертирует визуальный намерение по приветственной зоне в QR-альбом,Очень высокий,Средний,Сгенерировать QR для гостей,"Нужны макеты карточек, табличек на столах, приветственной стойки и экрана."
Экран и проектор на свадьбе,/wedding/projector-screen/,/wedding/,2,коммерческая страница,Показать фото гостей на экране или проекторе,"Живая галерея, модерация, QR-загрузка, приветственный экран",СВАДЬБА; ЭКРАН; ФОТО,Аренда проекторов; общий альбом; QR-генератор как главный интент,Середина и низ воронки,Очень высокий,P0,"Главная коммерческая страница для экран-свадебное намерение; принимает вес из экранного хаба и идей для проектора, приветственный экран",Очень высокий,Средний,Запустить экран с фото гостей,"Поддерживается запросами про экран на свадьбу, фото на проекторе и контент для экрана."
Контент для свадебного экрана,/wedding/screen-content/,/wedding/projector-screen/,3,контентная коммерческая страница,Что показывать на свадебном экране,"Фото гостей, QR, приветственные заставки, моменты в реальном времени",СВАДЬБА; ЭКРАН; ВИЗУАЛ,Аренда оборудования; общий альбом без экрана,Середина воронки,Высокий,P1,Информационный конвертер в фотостену в реальном времени и свадебный проекторный экран,Очень высокий,Средний,Показать фото гостей в реальном времени,Владеет `контент для свадебного экрана` и должен содержать экран макеты.
Альтернатива фотобудке на свадьбе,/wedding/photo-booth-alternative/,/wedding/,2,сравнение коммерческая страница,Чем заменить фотобудку на свадьбе,QR-сбор фото и фотостену в реальном времени как более гибкая альтернатива,СВАДЬБА; СРАВНЕНИЕ; ФОТО,Каталог фотобудок; аренда камер; корпоративные фотобудки,Середина и низ воронки,Высокий,P1,Сравнительный конвертер в QR-альбом и фотостену в реальном времени,Высокий,Высокий,Сравнить с фотобудкой,Слабая конкуренция и визуальная выдача делают страницу хорошим входом на замену.
QR-хаб,/qr/,/,1,хаб,QR для загрузки фото гостями,"Маршрутизация в свадьбу, гостей, без приложения и QR-альбом",QR,Меню ресторанов; оплата; общий QR без фото,Верх и середина воронки,Высокий,P1,"Хаб QR-кластера, объясняет механику и передает конверсию в фото и свадьбу",Средний,Средний,Создать QR для фото,"Фокус QR только на фото загрузка и мероприятия, не на общий QR."
QR-код для свадьбы,/qr/wedding/,/qr/,2,коммерческая поддерживающая страница,QR-код для свадебных фото,Как гости переходят в альбом и загружают фото без приложения,QR; СВАДЬБА; БЕЗ ПРИЛОЖЕНИЯ,Свадебные идеи; контент для экрана; общий QR-генератор,Середина и низ воронки,Очень высокий,P1,"QR-настройка страница, которая отдает конверсия семантическое владение в `/wedding/qr-photo-album/`",Высокий,Высокий,Создать свадебный QR,"Избегает каннибализации: технический QR намерение здесь, продуктовый QR-альбом там."
QR-код для гостей,/qr/guests/,/qr/,2,контент коммерческая страница,"QR-код, по которому гости загружают фото",Гостевая загрузка без регистрации и без приложения,QR; ФОТО; БЕЗ ПРИЛОЖЕНИЯ,Только свадебный; игры ведущего; экран как основной интент,Середина и низ воронки,Высокий,P1,общий QR-to-фото конвертер в сбор фото,Средний,Средний,Создать QR для гостей,"Владеет намерение `QR код для гостей`, но ведет в фото-сбор."
QR без приложения,/qr/no-app/,/qr/,2,семантическая поддерживающая страница,QR-загрузка фото без приложения,"Гость открывает браузер, загружает фото и попадает в галерею",QR; БЕЗ ПРИЛОЖЕНИЯ; ФОТО,общий QR; установка приложения; регистрация гостей,Середина воронки,Высокий,P1,Усиливает без приложения продуктовое отличие и передает вес в Свадебная QR и загрузка гостями,Средний,Средний,Попробовать загрузку по QR,Отдельный семантический слой для `QR без приложения` и загрузка через браузер.
Фото-хаб,/photo/,/,1,хаб,Фото гостей как эмоциональное ядро FotoLovi,"Сбор, живая галерея, общий альбом, воспоминания и загрузка без приложения",ФОТО,Услуги фотографа; стоки; фотосессии; камеры,Верх и середина воронки,Очень высокий,P0,"ключевой эмоциональный хаб: распределяет авторитет в сбор фото, живая галерея, общий альбом и воспоминания",Высокий,Низкий,Начать собирать фото,"ФОТО должен быть глубже: это не утилита, а слой памяти события."
Сбор фото гостей,/photo/guest-photo-collection/,/photo/,2,коммерческая страница,Собрать фото от гостей,"Загрузка без приложения, модерация, общая галерея",ФОТО; БЕЗ ПРИЛОЖЕНИЯ,Свадебные идеи; QR-генератор; экранный контент,Середина и низ воронки,Очень высокий,P0,"Главная общий коммерческая страница для сбора фото; принимает ссылки из без приложения, идеи и альтернативы",Средний,Средний,Собрать фото гостей,Владеет широкое намерение `как собрать фото гостей` и `сбор фото гостей`.
Фото гостей,/photo/guest-photos/,/photo/,2,контентная коммерческая страница,Фото гостей как отдельная ценность события,"Как собрать, сохранить и показать гостевые фото",ФОТО; ПАМЯТЬ,Свадебный точное намерение; QR-инструкция; в реальном времени экран как основной интент,Верх и середина воронки,Высокий,P1,"Эмоциональная страница, которая ведет в сбор фото и свадебный фото гостей",Высокий,Средний,Сохранить фото гостей,"Граница: точное свадебное у `/wedding/guest-photos/`, общее эмоциональное фото-намерение здесь."
Общий фотоальбом,/photo/shared-album/,/photo/,2,коммерческая поддерживающая страница,Общий альбом для гостей события,Альтернатива чатам и облачным папкам,ФОТО; АЛЬБОМ,Свадебный общий альбом; QR-генератор; экранный контент,Середина и низ воронки,Высокий,P1,общий альбом семантическое владение; ведет в сбор и свадебный общий альбом,Средний,Средний,Создать общий альбом,"Разграничение: `/wedding/shared-album/` владеет свадебный, этот URL владеет общий мероприятие альбом."
Как собрать фото гостей,/photo/how-to-collect/,/photo/,2,информационная коммерческая страница,Как собрать фото гостей с мероприятия,"Пошаговое сравнение чатов, облаков, QR и FotoLovi",ФОТО; ПРОБЛЕМА; СРАВНЕНИЕ,Свадебный-только страница; QR настройка as главный намерение; экранные примеры,Верх и середина воронки,Высокий,P1,"Информационный вход с слабый выдача, который передает пользователей в сбор",Средний,Средний,Собрать фото через QR,Нужна таблица способов и сильный CTA после каждого способа.
Живая галерея,/photo/live-gallery/,/photo/,2,коммерческая страница,Живая галерея фото гостей,Фото появляются в общей галерее во время события,ФОТО; ЖИВАЯ ГАЛЕРЕЯ; СОБЫТИЯ,В реальном времени стена на экране; общий альбом после события,Середина и низ воронки,Очень высокий,P1,Связывает сбор фото с фотостену в реальном времени и экранный кластер,Высокий,Средний,Открыть живую галерею,"Не каннибализирует `/photo/live-photo-wall/`: здесь галерея, там экранная стена."
Фотостена в реальном времени,/photo/live-photo-wall/,/photo/live-gallery/,3,коммерческая страница,Фото гостей на фотостене в реальном времени,Модерируемая трансляция фото на экран,ФОТО; ЭКРАН; ЖИВАЯ ГАЛЕРЕЯ,Аренда экрана; общий альбом; QR-инструкция,Середина и низ воронки,Очень высокий,P0,Коммерческий мост между ФОТО и ЭКРАН; принимает ссылки из интерактивов и проектор страницы,Очень высокий,Средний,Запустить фотостену в реальном времени,Главный конвертер для экранного и интерактивного намерение.
Воспоминания события,/photo/memories/,/photo/,2,эмоциональная верх воронки страница,Сохранить воспоминания гостей после события,"Фото как общая память, а не только файлы",ФОТО; ПАМЯТЬ; ВИЗУАЛ,Фотосессии; услуги фотографа; общий хранилище,Верх воронки,Средний,P2,"Эмоциональный верхний слой, который ведет в фото гостей и общий альбом",Очень высокий,Низкий,Сохранить воспоминания,Страница усиливает позиционирование свадебная инфраструктура памяти.
Загрузка фото без приложения,/no-app/,/,1,семантический хаб,Загрузка фото гостями без приложения,"Загрузка через браузер, без регистрации, QR-вход, быстрая галерея",БЕЗ ПРИЛОЖЕНИЯ; ФОТО; QR,Установка приложения; личные аккаунты; общий файловый загрузка,Середина воронки,Очень высокий,P1,"Отдельный продуктовое отличие хаб; передает авторитет в QR, сбор фото и свадебный QR альбом",Средний,Средний,Попробовать загрузку без приложения,"Это ключевой продуктовый отличитель, который должен иметь собственный семантический слой."
Гости загружают фото без приложения,/no-app/photo-upload/,/no-app/,2,коммерческая поддерживающая страница,Гости загружают фото без установки приложения,"Открывают ссылку или QR, выбирают фото, отправляют в галерею",БЕЗ ПРИЛОЖЕНИЯ; ФОТО,QR как единственный интент; регистрация; загрузка в облако,Середина и низ воронки,Очень высокий,P1,Показывает продукт сценарий и ведет в сбор и свадебный альбом,Средний,Средний,Загрузить фото как гость,"Нужен визуальный демонстрационный сценарий: QR, браузер, загрузка, модерация, галерея."
Загрузка без регистрации,/no-app/guest-upload-without-registration/,/no-app/,2,семантическая поддерживающая страница,Гости загружают фото без регистрации,Минимум действий для гостя на свадьбе или мероприятии,БЕЗ ПРИЛОЖЕНИЯ; БЕЗ РЕГИСТРАЦИИ; ФОТО,Аккаунты; личные кабинеты; облачные папки,Середина воронки,Высокий,P2,Усиливает доверие и без лишних действий позиционирование; ведет в коммерческие страницы,Низкий,Низкий,Создать галерею без регистрации гостей,Закрывает возражение: гости не хотят ставить приложение или создавать аккаунт.
Загрузка через браузер фото,/photo/browser-upload/,/photo/,2,семантическая поддерживающая страница,Загрузка фото через браузер,Как работает загрузка с телефона без приложения,ФОТО; БРАУЗЕР; БЕЗ ПРИЛОЖЕНИЯ,Разработка веб-загрузка; общий хранилище; QR без фото,Середина воронки,Средний,P2,Технически объясняет сценарий без приложения и связывает фото с QR/no-app,Низкий,Средний,Открыть загрузку в браузере,Поддерживающая страница для запросов и возражений вокруг загрузки через браузер.
Экранный хаб,/screen/,/,1,хаб,Экран и проектор для фото гостей,"Что показывать, как запускать фотостену в реальном времени, приветственный экран и QR",ЭКРАН,Аренда оборудования; продажа телевизоров; общий альбом без экрана,Верх и середина воронки,Высокий,P1,"Хаб экран-кластера; распределяет авторитет в проектор, фотостену в реальном времени и приветственный экран",Очень высокий,Средний,Показать фото на экране,Экранная выдача имеет визуальный намерение и низкую платную конкуренцию.
Что показать на проекторе на свадьбе,/screen/what-to-show-on-wedding-projector/,/screen/,2,информационная коммерческая страница,Что показать на свадебном проекторе,"Фото гостей, QR, приветственную заставку, живая галерея",ЭКРАН; СВАДЬБА; ВИЗУАЛ,Общий альбом; QR настройка; сценарии ведущего,Верх и середина воронки,Высокий,P1,Вопросный-намерение конвертер в свадебный проекторный экран и фотостену в реальном времени,Очень высокий,Средний,Показать фото гостей в реальном времени,Прямо соответствует реальному паттерну `что показать на проекторе на свадьбе`.
Идеи экрана на свадьбе,/screen/wedding-screen-ideas/,/screen/,2,визуальная контентная страница,Идеи для свадебного экрана,"Примеры приветственный экран, фотостену в реальном времени, QR, слайдов и фото гостей",ЭКРАН; СВАДЬБА; ВИЗУАЛ,Аренда оборудования; декор без цифровой; общий альбом,Верх воронки,Средний,P2,"Визуальное SEO поддерживающая страница, ведет в проектор и фотостену в реальном времени",Очень высокий,Средний,Посмотреть примеры экрана,Нужны макеты экранов и вертикальные изображения для визуальное SEO.
Хаб для ведущих,/hosts/,/,1,хаб,Инструменты и интерактивы для ведущих,"Фото-интерактивы, экран, QR и вовлечение гостей",ВЕДУЩИЕ,Планирование свадьбы невестой; QR настройка; корпоративы,Верх и середина воронки,Средний,P2,"Смежный хаб, который не должен перетягивать свадебное семантическое владение",Средний,Низкий,Добавить фото-интерактив,"ВЕДУЩИЕ реален, но поддерживающий: важен для B2B2C и мероприятие-операторов."
Интерактивы для ведущих,/hosts/interactives/,/hosts/,2,контентная коммерческая страница,Интерактивы для ведущего на свадьбе,"Фото-задания, экранные моменты, живая галерея для гостей",ВЕДУЩИЕ; ИНТЕРАКТИВ; СОБЫТИЯ,Идеи невесты; экран оборудование; общий альбом,Середина воронки,Высокий,P1,Страница привлечения ведущих в фотостену в реальном времени и галерея мероприятия,Высокий,Средний,Добавить интерактив в программу,Поддерживается запросами `интерактивы для ведущего` и `идеи для ведущего`.
Экран для ведущего,/hosts/screen/,/hosts/,2,контентная поддерживающая страница,Экранные сценарии для ведущего,"Показ фото гостей, реакций и QR-заданий",ВЕДУЩИЕ; ЭКРАН,Аренда оборудования; свадебный альбом сбор,Верх и середина воронки,Средний,P3,Мост из ведущий-кластера в экран хаб,Высокий,Средний,Запустить экранный интерактив,Развивать после P1 ведущий-интерактивs.
Хаб мероприятий,/events/,/,1,хаб,Фото и интерактивы для мероприятий,"Событийная галерея, QR загрузка, в реальном времени экран",СОБЫТИЯ,Свадебный-specific как основной интент; только корпоративный как главный фокус,Верх и середина воронки,Средний,P2,Вторичный мероприятие хаб для не свадебных сценариев,Средний,Средний,Создать галерею события,Использовать осторожно: данные сильно смещены в свадьбы.
Фото-галерея мероприятия,/events/photo-gallery/,/events/,2,коммерческая страница,Фото-галерея для мероприятия,"QR-загрузка, модерация, общий альбом и экран",СОБЫТИЯ; ФОТО,Свадебный-только тексты; корпоративный рабочие сценарии как основной интент,Середина и низ воронки,Высокий,P1,"общий конвертер мероприятий, связывает мероприятия с фото-ядром",Средний,Средний,Создать фото-галерею,"Поддержана запросами про сервисы для мероприятий, но ниже свадебный по приоритету."
Фото на корпоративе,/events/corporate/,/events/,2,будущий коммерческая страница,Сбор фото гостей на корпоративе,QR-галерея и в реальном времени экран для корпоративных гостей,СОБЫТИЯ; ФОТО,Свадебный планирование; ведущий программы; фото фотобудка альтернатива,Середина воронки,Средний,P3,"Будущий вертикальный вход, пока без статуса P1",Средний,Низкий,Создать корпоративную галерею,Запускать полноценно после появления корпоративной семантики.
Хаб альтернатив,/alternatives/,/,1,хаб,Альтернативы способам сбора фото с мероприятия,"Фотобудка, чаты, Google Drive, Telegram и QR-галерея",СРАВНЕНИЕ,Свадебный идеи как основной интент; общий хранилище инструкции,Середина воронки,Средний,P2,"Сравнение хаб, передает замена намерение в коммерческие страницы",Средний,Средний,Сравнить способы,Слабые Выдача позволяют собирать пользователей с болью и переводить в FotoLovi.
Альтернатива фотобудке,/alternatives/photo-booth/,/alternatives/,2,сравнение поддерживающая страница,Альтернатива фотобудке для мероприятий,"Сравнение фотобудки, QR-галереи и фотостену в реальном времени",СРАВНЕНИЕ; ФОТО,Свадебный-specific фото фотобудка альтернатива как главный намерение,Середина воронки,Средний,P3,Поддержка или канонический кандидат к свадебный альтернатива,Высокий,Высокий,Сравнить варианты,"Высокий риск каннибализации с `/wedding/photo-booth-alternative/`, если свадебное намерение доминирует."
Альтернатива Google Drive и Telegram,/alternatives/google-drive-telegram/,/alternatives/,2,сравнение коммерческая страница,Чем заменить сбор фото в чатах и облаках,Организованная гостевая галерея с QR и модерацией,СРАВНЕНИЕ; ФОТО; БЕЗ ПРИЛОЖЕНИЯ,Свадебный вдохновение; QR генератор; контент для экрана,Середина и низ воронки,Высокий,P2,основанный на боли конвертер в сбор фото и загрузка без приложения,Средний,Низкий,Собрать фото в одной галерее,Хорошо закрывает боль разбросанных фото после события.
Хаб идей,/ideas/,/,1,хаб верхнего уровня,Идеи для свадьбы и мероприятия через визуальный опыт гостей,"Направить широкий верхний спрос в свадебный, интерактив, проектор и развлечения гостей",ИДЕИ; ВИЗУАЛ; СВАДЬБА,Продукт цены; QR настройка; экранное оборудование как основной интент,Верх воронки,Средний,P1,"Усиленный верх воронки-хаб, который собирает широкий demи и передает авторитет в коммерческие страницы",Очень высокий,Средний,Посмотреть идеи с фото гостей,"Идеи недооценен: он нужен как верхний слой тематический авторитет, но не как общий блог."
Идеи для свадьбы,/ideas/wedding/,/ideas/,2,хаб верхнего уровня,Идеи для свадьбы с участием гостей,"Современный, цифровой, приветственный, интерактивы, экран и фото-память",ИДЕИ; СВАДЬБА; ВИЗУАЛ,QR-инструкция; цены продукта; корпоративы,Верх воронки,Средний,P1,"Передает авторитет в `/wedding/modern/`, `/wedding/interactive/`, `/wedding/welcome/` и коммерческие страницы",Очень высокий,Средний,Добавить фото-идею на свадьбу,"Широкий свадебный идея хаб, который должен связывать вдохновение с FotoLovi."
Интерактивные идеи,/ideas/interactive/,/ideas/,2,верх воронки контентный хаб,Интерактивные идеи для гостей,"Фото-активности, QR, живая галерея, экранные задания",ИДЕИ; ИНТЕРАКТИВ,Только ведущий сценарии; QR настройка; точное свадебное намерение,Верх и середина воронки,Средний,P1,"Проводит верх воронки-трафик в свадебный интерактив, ведущийs и фотостену в реальном времени",Очень высокий,Средний,Добавить интерактив с фото,Путь к конверсии: идея -> свадебный интерактив -> фотостену в реальном времени или QR альбом.
Идеи для проектора,/ideas/projector/,/ideas/,2,верх воронки контентная страница,"Идеи, что показать на проекторе","Фото гостей, приветственный экран, QR, поздравления, живая галерея",ИДЕИ; ЭКРАН; ВИЗУАЛ,Аренда проектора; технические настройки; общий альбом,Верх и середина воронки,Средний,P1,Передает авторитет в экран хаб и свадебный проекторный экран,Очень высокий,Средний,Показать фото гостей на экране,Важный верх воронки-вход для экранный кластер.
Идеи wow-эффектов,/ideas/wow-effects/,/ideas/,2,верх воронки визуальная страница,Wow-эффекты для гостей,"Эмоциональные моменты через экран, QR и общие фото",ИДЕИ; WOW; ВИЗУАЛ,Декор без цифровой; шоу-программа; фотобудка как основное намерение,Верх воронки,Средний,P2,"Ведет в свадебный wow-effects, интерактив и фотостену в реальном времени",Очень высокий,Средний,Посмотреть фотостену в реальном времени,Подходит для визуального контента и потенциально распространяемый примеры.
Развлечения для гостей,/ideas/guest-entertainment/,/ideas/,2,верх воронки контентная страница,Развлечения для гостей на свадьбе,Фото-интерактивы и вовлечение гостей без сложной подготовки,ИДЕИ; СВАДЬБА; ГОСТИ,Только для ведущих сценарии; настройка QR-альбома; экран оборудование,Верх воронки,Средний,P1,Ведет в свадебный интерактив и фото фотостену в реальном времени,Высокий,Средний,Добавить фото-активность,Поддерживается реальным сезонным намерением `развлечения для гостей на свадьбе`.
Визуальное вдохновение свадьбы,/ideas/wedding-visuals/,/ideas/wedding/,3,визуальный SEO хаб,Визуальные идеи для свадьбы,"Приветственная зона, экран, QR таблички, фото стена и гостевые моменты",ИДЕИ; ВИЗУАЛ; СВАДЬБА,QR настройка; альбом сбор; цены,Верх воронки,Средний,P2,"Визуальное SEO хаб, который переливает трафик в приветственный и экран страницы",Очень высокий,Средний,Посмотреть визуальные примеры,Страница для похожий на Pinterest и Яндекс Картинки стратегии без каннибализации коммерческие страницы.
Хаб вовлечения гостей,/engagement/,/,1,будущий хаб,Механики вовлечения гостей,"Резерв под голосования, конкурсы, реакции и фото-активности",ГОСТЕВОЕ ВОВЛЕЧЕНИЕ,Текущий QR-сбор фото; свадебный фото гостей; ведущий страницы,Верх и середина воронки,Низкий,P4,Будущий масштаб хаб после усиления ключевой-кластеров,Средний,Низкий,Посмотреть механики вовлечения,Не запускать как текущий приоритет: данных пока недостаточно.
Голосования и конкурсы,/engagement/voting-contests/,/engagement/,2,будущая контентная страница,Голосования и конкурсы для гостей,Потенциальные фото-конкурсы и реакции,ГОСТЕВОЕ ВОВЛЕЧЕНИЕ,QR альбом; свадебный фото гостей; контент для экрана,Верх воронки,Низкий,P4,Будущий поддержка для engagement защитный контур,Средний,Низкий,Запустить фото-конкурс,Развивать после появления отдельной семантики.
