"query","frequency","source","intent","cluster","subcluster","closeness_to_fotolovi","competition_notes","serp_notes","interesting_findings"
"аренда экрана на свадьбу","21","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: экран на свадьбу","near","","","real Wordstat expansion from seed: экран на свадьбу"
"армянская свадьба традиции и обычаи современные","10","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"армянская свадьба традиции современная","20","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах эта свадьба пела современная","113","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах эта свадьба пела современной обработке","89","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах эта свадьба песня скачать современная","75","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах эта свадьба свадьба современная","147","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах эта свадьба современная обработка","93","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"ах это свадьба песня современная","102","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"букет на свадьбу от гостей фото","32","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"ведущий свадьба современный","743","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"веселая песня про свадьбу современные","62","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"веселые песни для свадьбы танцевальные современные подборка","25","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"веселые песни на свадьбу современные для танцев","52","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"веселые поздравления на свадьбу современные","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп на свадьбе сценарий современный прикольный","163","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп на свадьбу современный прикольный","163","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп невесты современной свадьбы","494","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп свадьба современный невесты сценарий","430","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп свадьба сценарий смешной современный","361","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп современной свадьбы","617","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выкуп сценарий на свадьбу современные","503","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выход молодых на свадьбе музыка современная","11","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"выход невесты на свадьбе музыка современная","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"годовщина свадьбы современные картинки","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"гости на свадьбе фото вк 2025","5","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"гости на свадьбе фото вк 2026","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"гость на свадьбу фото мужчин","113","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"готовый современный сценарий полной свадьбы","203","Arsenkin Wordstat Russia left column","commercial","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"жених одежда на свадьбу современная","5","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"заставка на свадьбу на экран с именами","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: экран на свадьбу","near","","","real Wordstat expansion from seed: экран на свадьбу"
"заставка на экран на свадьбу","185","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: экран на свадьбу","near","","","real Wordstat expansion from seed: экран на свадьбу"
"игры на экране для свадьбы","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: экран на свадьбу","near","","","real Wordstat expansion from seed: экран на свадьбу"
"идеи выкупа невесты на свадьбу современные","18","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"идеи интерактивов на свадьбу","39","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактив подарок на свадьбу от подруги","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактивы на велком на свадьбу","28","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактивы на свадьбу","738","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","ads:0; diverse SERP","TOP10 hosts: weddywood.ru, wedding-magazine.ru, kp.ru, wedwed.ru, ru.pinterest.com, svadebka.ws, ahaslides.com, 1portal.ru, ...","real Wordstat expansion from seed: интерактивы на свадьбу | possible low/medium competition opportunity; Pinterest-like / visual intent signal"
"интерактивы на свадьбу 2026","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактивы на свадьбу без ведущего","10","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактивы на свадьбу с гостями","52","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интерактивы на свадьбу современные","27","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"интересные интерактивы на свадьбу","24","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"как одеваются на свадьбу гости фото","100","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"как провести современную свадьбу","29","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"как проводятся современные свадьбы","4","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"как проходит современная свадьба","101","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"как проходит современная свадьба в россии","36","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"как сделать интересную свадьбу","23","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: как сделать свадьбу интереснее","near","","","real Wordstat expansion from seed: как сделать свадьбу интереснее"
"какие интерактивы можно провести на свадьбе","8","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"какие современные свадьбы","261","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"картинка с днем свадьбы современная","16","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"кого пригласить на свадьбу для развлечения гостей","32","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: развлечения для гостей на свадьбе","near","","","real Wordstat expansion from seed: развлечения для гостей на свадьбе"
"кокошник на свадьбу современный","7","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"красивая современная свадьба","120","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"красивое современное поздравление с днем свадьбы","24","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"купить интерактивы для ведущих","10","Arsenkin Wordstat Russia left column","commercial","HOST","Левая; seed: интерактивы для ведущего","near","","","real Wordstat expansion from seed: интерактивы для ведущего"
"мама невесты на свадьбе платье фото современное","15","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"музыка для встречи молодых на свадьбе современные","12","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"музыка для свадьбы веселая танцевальная сборник современная","4","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"музыка на свадьбу танцевальная современная","12","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"наряды гостей на свадьбе фото","97","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"обычаи свадеб у чеченцев современные","7","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"онлайн сервис для покупки билетов на мероприятия","21","Arsenkin Wordstat Russia left column","commercial","EVENT","Левая; seed: сервисы для мероприятий","near","","","real Wordstat expansion from seed: сервисы для мероприятий"
"оригинальные современные поздравления детей на свадьбе","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"отбивки на свадьбу быстрые современные","9","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"открытка с годовщиной свадьбы современные","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"открытка с днем свадьбы современные","49","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"переделанная песня на свадьбу от друзей современные","24","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"переделанные песни на свадьбу современные","149","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"переделанные современные свадьбу","151","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"переделка песни на свадьбу современные","331","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"переделки на свадьбу современные","331","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни для вальса на свадьбу современные","8","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни для годовщины свадьбы современные","10","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни для свадьбы современные","492","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни для свадьбы современные для молодоженов","33","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на годовщину свадьбы современные веселые","5","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу детям современные","13","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу современные от родителей","214","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу современные слушать","40","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу современные слушать бесплатно","26","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу танцевальные зажигательные современные","53","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу танцевальные зажигательные современные русские","24","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни на свадьбу тексты современные","54","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни о любви на свадьбу современные русские","6","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни о невесте и свадьбе современные","7","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни от родственников на свадьбу современные","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни переделки на свадьбу от родителей современные","126","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни поздравления на свадьбу современные переделки","25","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни про любовь на свадьбу современные","44","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни про невесту и свадьбу современные","59","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни про свадьбу современные","403","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни про свадьбу современные веселые слушать","9","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни про свадьбу список современные","19","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни свадьбы современные веселые танцевальные","71","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песни современные на свадьбу для гостей","63","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня на свадьбу для молодых переделанная современная","64","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня на свадьбу молодым современная","157","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня о свадьбе веселая современная","22","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня от родителей на свадьбу молодым современная","61","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня переделка на свадьбу от друзей современные","44","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня поздравление на свадьбу молодым современная","42","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня свадьба в современной обработке","80","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"песня свадьба современные исполнители","10","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"платья гостей на свадьбу фото","122","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: фото гостей на свадьбе","near","","","real Wordstat expansion from seed: фото гостей на свадьбе"
"плейлист на свадьбу танцевальная современная","26","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"под это хочется интерактив на свадьбе","5","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: интерактивы на свадьбу","near","","","real Wordstat expansion from seed: интерактивы на свадьбу"
"поздравление на свадьбу молодым современная","67","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"поздравление на свадьбу прикольные современные","33","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"поздравление на свадьбу прикольные современные видео","5","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
"поздравление с днем свадьбы красивые оригинальные современные","19","Arsenkin Wordstat Russia left column","wedding","WEDDING","Левая; seed: современные свадьбы","near","","","real Wordstat expansion from seed: современные свадьбы"
